Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,PERSISTENT,EQ,1517.15,1510.0,1534.0,1477.8,1495.0,1497.55,1514.29,182691,27664803355000.0,8300,130989,0.7170000000000001
2021-01-04,PERSISTENT,EQ,1497.55,1505.0,1525.0,1488.1,1518.0,1519.8,1505.57,186983,28151646770000.0,12081,118724,0.6349
2021-01-05,PERSISTENT,EQ,1519.8,1534.0,1575.0,1512.0,1555.0,1550.45,1550.36,334159,51806722375000.0,21903,116019,0.3472
2021-01-06,PERSISTENT,EQ,1550.45,1579.3,1599.0,1512.65,1547.0,1540.85,1542.54,149093,22998148530000.0,18738,76785,0.515
2021-01-07,PERSISTENT,EQ,1540.85,1559.95,1559.95,1511.0,1522.45,1520.2,1534.79,261213,40090685305000.0,17500,207957,0.7961
2021-01-08,PERSISTENT,EQ,1520.2,1533.0,1580.0,1525.2,1570.0,1570.9,1560.65,190956,29801520845000.0,12168,130417,0.6829999999999999
2021-01-11,PERSISTENT,EQ,1570.9,1595.0,1649.0,1573.35,1613.0,1612.7,1609.81,324902,52303177785000.0,25316,171576,0.5281
2021-01-12,PERSISTENT,EQ,1612.7,1630.0,1632.7,1592.75,1620.9,1626.95,1617.8,132112,21373138975000.0,10866,68281,0.5168
2021-01-13,PERSISTENT,EQ,1626.95,1630.0,1665.6,1606.2,1648.0,1646.1,1647.43,405375,66782601965000.0,19209,283707,0.6999
