Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,OMMETALS,EQ,20.45,20.7,20.95,19.7,20.85,20.6,20.24,221956,449270565000.00006,783,138282,0.623
2021-01-04,OMMETALS,EQ,20.6,20.95,21.0,20.5,20.5,20.65,20.8,85464,177762655000.0,382,57118,0.6683
2021-01-05,OMMETALS,EQ,20.65,20.65,21.65,20.1,21.65,21.45,21.17,424059,897744350000.0,998,285706,0.6737000000000001
2021-01-06,OMMETALS,EQ,21.45,21.9,22.25,21.15,22.1,21.8,21.83,147126,321245730000.0,600,103970,0.7067
2021-01-07,OMMETALS,EQ,21.8,22.85,22.85,22.85,22.85,22.85,22.85,74982,171333870000.0,243,73982,0.9867
2021-01-08,OMMETALS,EQ,22.85,23.95,23.95,23.5,23.95,23.95,23.95,645081,1544916945000.0,759,622668,0.9653
2021-01-11,OMMETALS,EQ,23.95,25.1,25.1,25.1,25.1,25.1,25.1,357213,896604630000.0001,308,325002,0.9098
2021-01-12,OMMETALS,EQ,25.1,26.35,26.35,24.05,25.05,24.8,25.11,583504,1465468810000.0,1459,436931,0.7488
2021-01-13,OMMETALS,EQ,24.8,25.45,26.0,25.0,26.0,25.95,25.71,433982,1115784415000.0,964,270384,0.623
