Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,ASTRAZEN,EQ,4619.2,4639.0,4675.0,4613.35,4632.0,4628.4,4638.78,133878,62103091654999.99,12359,53391,0.39880000000000004
2021-01-04,ASTRAZEN,EQ,4628.4,4840.0,4910.0,4600.0,4650.0,4665.95,4731.99,413070,195464210985000.0,46128,105611,0.2557
2021-01-05,ASTRAZEN,EQ,4665.95,4650.0,4655.0,4501.2,4568.0,4564.05,4581.45,131495,60243734660000.0,14623,44915,0.34159999999999996
2021-01-06,ASTRAZEN,EQ,4564.05,4564.05,4597.65,4460.0,4465.0,4467.95,4507.89,88085,39707729110000.0,12146,39733,0.4511
2021-01-07,ASTRAZEN,EQ,4467.95,4468.0,4517.0,4340.0,4368.95,4363.95,4403.81,92856,40892041625000.0,13909,37785,0.4069
2021-01-08,ASTRAZEN,EQ,4363.95,4391.0,4450.0,4360.0,4399.0,4392.45,4395.43,69303,30461644014999.996,9622,17495,0.2524
2021-01-11,ASTRAZEN,EQ,4392.45,4417.65,4435.0,4325.0,4360.0,4365.0,4375.51,47129,20621338635000.0,8874,18014,0.3822
2021-01-12,ASTRAZEN,EQ,4365.0,4370.0,4417.0,4345.0,4350.0,4363.4,4381.36,45588,19973740435000.0,7187,16183,0.355
2021-01-13,ASTRAZEN,EQ,4363.4,4350.4,4400.0,4230.0,4270.0,4276.8,4308.92,64283,27699020595000.0,10551,23318,0.3627
