Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,NATCOPHARM,EQ,961.95,965.0,980.9,961.35,968.0,967.3,972.34,243829,23708499225000.0,8572,80344,0.3295
2021-01-04,NATCOPHARM,EQ,967.3,972.0,974.6,961.0,967.0,968.8,967.83,367721,35589099200000.0,12507,263411,0.7162999999999999
2021-01-05,NATCOPHARM,EQ,968.8,968.8,970.9,960.2,966.4,966.45,966.67,127821,12356061390000.0,8049,65125,0.5095000000000001
2021-01-06,NATCOPHARM,EQ,966.45,970.0,979.0,936.95,954.85,953.05,967.52,315429,30518238450000.0,10084,73989,0.2346
2021-01-07,NATCOPHARM,EQ,953.05,966.5,966.5,931.0,935.0,934.55,944.19,337497,31866008775000.0,10555,229192,0.6790999999999999
2021-01-08,NATCOPHARM,EQ,934.55,940.4,952.9,932.0,937.0,938.3,943.45,399488,37689507595000.0,16507,258990,0.6483
2021-01-11,NATCOPHARM,EQ,938.3,948.3,951.8,926.0,929.0,932.15,935.86,284731,26646737745000.0,7562,167287,0.5875
2021-01-12,NATCOPHARM,EQ,932.15,936.75,961.45,932.2,955.1,955.7,946.38,319682,30254077430000.0,8599,174157,0.5448
2021-01-13,NATCOPHARM,EQ,955.7,957.0,972.0,935.0,943.8,946.5,958.55,744466,71360436760000.0,12316,452489,0.6078
