Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,MMP,EQ,81.35,80.5,84.95,80.1,82.0,82.45,82.36,14591,120177645000.0,189,10402,0.7129000000000001
2021-01-04,MMP,EQ,82.45,82.95,83.95,81.1,83.95,83.0,82.17,13269,109037870000.0,217,11165,0.8414
2021-01-05,MMP,EQ,83.0,82.95,85.1,80.95,85.1,83.75,83.01,34707,288117140000.0,455,15203,0.438
2021-01-06,MMP,EQ,83.75,85.0,89.7,84.15,85.0,85.05,86.24,34381,296503570000.0,406,21183,0.6161
2021-01-07,MMP,EQ,85.05,86.5,86.5,83.0,84.0,84.5,84.71,15538,131617745000.0,148,12258,0.7889
2021-01-08,MMP,EQ,84.5,85.0,87.2,83.55,86.9,85.85,85.46,19117,163376030000.0,165,16934,0.8858
2021-01-11,MMP,EQ,85.85,87.0,97.8,84.0,96.2,93.75,91.25,166496,1519303570000.0,1969,59766,0.359
2021-01-12,MMP,EQ,93.75,97.0,97.0,90.4,92.15,92.85,94.21,53423,503314455000.0,669,36125,0.6762
2021-01-13,MMP,EQ,92.85,93.0,97.4,88.05,95.1,95.6,93.74,50733,475563530000.0,550,29121,0.574
