Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,3IINFOTECH,EQ,6.45,6.75,6.75,6.75,6.75,6.75,6.75,666689,450015075000.0,467,666689,1.0
2021-01-04,3IINFOTECH,EQ,6.75,7.05,7.05,7.05,7.05,7.05,7.05,2282179,1608936195000.0,577,2282179,1.0
2021-01-05,3IINFOTECH,EQ,7.05,7.4,7.4,7.4,7.4,7.4,7.4,800501,592370740000.0,631,795301,0.9934999999999999
2021-01-06,3IINFOTECH,EQ,7.4,7.75,7.75,7.75,7.75,7.75,7.75,1109387,859774925000.0,612,1109387,1.0
2021-01-07,3IINFOTECH,EQ,7.75,8.1,8.1,7.8,8.1,8.1,8.06,39048167,31475481945000.0,8729,28415548,0.7277
2021-01-08,3IINFOTECH,EQ,8.1,8.5,8.5,8.5,8.5,8.5,8.5,1852252,1574414200000.0,826,1429817,0.7719
2021-01-11,3IINFOTECH,EQ,8.5,8.9,8.9,8.25,8.9,8.9,8.85,37072145,32804773550000.0,12672,21355791,0.5761000000000001
2021-01-12,3IINFOTECH,EQ,8.9,9.3,9.3,8.6,8.7,9.0,9.17,55506983,50888188140000.0,31179,25936167,0.4673
2021-01-13,3IINFOTECH,EQ,9.0,8.55,8.55,8.55,8.55,8.55,8.55,6108862,5223077010000.0,13866,5816396,0.9521
