Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,SAKHTISUG,EQ,10.05,10.3,10.6,10.05,10.3,10.4,10.35,53696,55563075000.0,190,40389,0.7522
2021-01-04,SAKHTISUG,EQ,10.4,10.75,10.75,10.1,10.3,10.35,10.36,172484,178637915000.0,395,89738,0.5203
2021-01-05,SAKHTISUG,EQ,10.35,10.35,10.5,10.1,10.35,10.25,10.25,44458,45560500000.0,170,28671,0.6448999999999999
2021-01-06,SAKHTISUG,EQ,10.25,10.25,10.8,10.2,10.6,10.55,10.6,175814,186311715000.0,520,94929,0.5399
2021-01-07,SAKHTISUG,EQ,10.55,10.75,10.75,10.45,10.7,10.6,10.58,73489,77784825000.0,385,45385,0.6176
2021-01-08,SAKHTISUG,EQ,10.6,10.75,11.0,10.5,10.6,10.55,10.69,80022,85537585000.0,287,50768,0.6344
2021-01-11,SAKHTISUG,EQ,10.55,10.95,10.95,10.2,10.45,10.4,10.43,37648,39281320000.0,185,29709,0.7891
2021-01-12,SAKHTISUG,EQ,10.4,10.9,10.95,10.5,10.65,10.75,10.76,220718,237514154999.99997,688,115137,0.5216
2021-01-13,SAKHTISUG,EQ,10.75,10.85,10.85,10.2,10.2,10.35,10.48,65803,68973390000.0,266,40272,0.612
