Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,CAMS,EQ,1805.7,1791.0,1855.0,1752.0,1779.0,1789.25,1822.52,308193,56168741440000.0,21394,71552,0.2322
2021-01-04,CAMS,EQ,1789.25,1796.5,1849.9,1760.0,1841.05,1825.45,1808.34,297889,53868341415000.0,15173,71853,0.24120000000000003
2021-01-05,CAMS,EQ,1825.45,1810.0,1856.85,1790.0,1802.0,1802.6,1820.89,118804,21632939770000.0,11020,37284,0.3138
2021-01-06,CAMS,EQ,1802.6,1811.95,1822.05,1761.1,1781.1,1783.9,1795.42,101368,18199773140000.0,13645,43892,0.433
2021-01-07,CAMS,EQ,1783.9,1800.1,1826.0,1768.0,1815.0,1807.45,1795.34,118012,21187200335000.0,13720,51114,0.43310000000000004
2021-01-08,CAMS,EQ,1807.45,1822.5,1823.0,1776.95,1786.2,1786.95,1796.82,75264,13523602590000.0,9053,36463,0.48450000000000004
2021-01-11,CAMS,EQ,1786.95,1794.65,1807.95,1781.0,1803.0,1795.75,1791.8,73679,13201767175000.0,8884,46382,0.6295000000000001
2021-01-12,CAMS,EQ,1795.75,1804.0,1828.0,1787.1,1807.45,1802.65,1804.88,164883,29759320845000.0,7107,129074,0.7828
2021-01-13,CAMS,EQ,1802.65,1817.95,1865.0,1796.05,1844.0,1840.75,1826.74,199541,36450865135000.0,18631,97704,0.48960000000000004
