Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-04,NAGREEKCAP,EQ,6.25,6.55,6.55,5.95,6.5,6.5,6.05,1461,884000000.0,9,889,0.6085
2021-01-05,NAGREEKCAP,EQ,6.5,6.5,6.5,6.2,6.2,6.2,6.26,2821,1765575000.0,8,2810,0.9961
2021-01-06,NAGREEKCAP,EQ,6.2,5.9,6.5,5.9,6.5,6.5,5.91,2024,1195600000.0,5,2024,1.0
2021-01-07,NAGREEKCAP,EQ,6.5,6.7,6.7,6.7,6.7,6.7,6.7,558,373860000.0,2,558,1.0
2021-01-08,NAGREEKCAP,EQ,6.7,6.45,6.8,6.45,6.8,6.8,6.62,192,127130000.0,5,192,1.0
2021-01-11,NAGREEKCAP,EQ,6.8,6.5,6.5,6.5,6.5,6.5,6.5,320,208000000.0,2,320,1.0
2021-01-12,NAGREEKCAP,EQ,6.5,6.8,6.8,6.8,6.8,6.8,6.8,45,30600000.0,2,45,1.0
2021-01-13,NAGREEKCAP,EQ,6.8,6.8,6.8,6.5,6.5,6.5,6.54,1251,817680000.0,9,1102,0.8809
