Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,REVATHI,EQ,470.45,476.05,479.55,460.0,471.0,463.4,468.71,1803,84508390000.0,274,1110,0.6156
2021-01-04,REVATHI,EQ,463.4,480.0,556.05,480.0,556.05,556.05,544.43,40479,2203785305000.0,1135,23850,0.5892000000000001
2021-01-05,REVATHI,EQ,556.05,574.9,667.25,574.9,644.0,643.7,646.77,285966,18495543310000.0,13184,49235,0.1722
2021-01-06,REVATHI,EQ,643.7,640.1,652.0,611.6,618.0,617.2,628.5,57120,3589970420000.0005,3983,17299,0.3029
2021-01-07,REVATHI,EQ,617.2,622.0,633.3,588.0,594.9,592.1,613.02,18753,1149601690000.0,1171,10075,0.5372
2021-01-08,REVATHI,EQ,592.1,603.8,603.8,570.25,586.0,582.85,582.66,9579,558133365000.0,813,6577,0.6866
2021-01-11,REVATHI,EQ,582.85,582.85,583.75,556.0,569.0,569.05,569.93,5277,300754585000.0,483,3223,0.6108
2021-01-12,REVATHI,EQ,569.05,600.0,647.9,576.55,613.75,610.6,623.69,32771,2043881670000.0,2895,10530,0.32130000000000003
2021-01-13,REVATHI,EQ,610.6,633.7,633.7,601.15,602.05,605.5,610.67,5136,313641260000.0,441,2992,0.5826
