Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,SHARDACROP,EQ,269.4,272.4,272.4,267.5,270.0,269.2,269.63,18667,503317825000.0,622,10459,0.5603
2021-01-04,SHARDACROP,EQ,269.2,283.0,283.0,273.0,277.85,277.95,277.12,43836,1214799525000.0,1533,23308,0.5317000000000001
2021-01-05,SHARDACROP,EQ,277.95,277.95,280.85,274.0,277.7,277.15,278.29,22361,622283480000.0,1126,13261,0.593
2021-01-06,SHARDACROP,EQ,277.15,277.15,281.0,272.4,275.45,274.65,276.24,40979,1132019430000.0,1687,17892,0.4366
2021-01-07,SHARDACROP,EQ,274.65,278.0,278.85,272.0,273.2,273.45,273.45,20921,572085560000.0,882,11251,0.5378000000000001
2021-01-08,SHARDACROP,EQ,273.45,273.55,283.0,272.75,277.05,276.3,277.93,37247,1035212840000.0,1559,21870,0.5872
2021-01-11,SHARDACROP,EQ,276.3,281.0,284.0,277.1,278.6,280.45,280.41,46434,1302076425000.0,1990,30286,0.6522
2021-01-12,SHARDACROP,EQ,280.45,280.45,281.15,275.0,277.0,276.45,276.97,37220,1030873085000.0,1745,24134,0.6484000000000001
2021-01-13,SHARDACROP,EQ,276.45,276.0,278.2,272.0,277.0,274.45,274.92,36069,991593335000.0,1672,22045,0.6112
