Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,TATAMTRDVR,EQ,75.2,75.2,77.1,75.2,76.4,76.45,76.17,3057472,23288511810000.0,10062,1144724,0.3744
2021-01-04,TATAMTRDVR,EQ,76.45,78.2,79.0,77.35,77.9,77.85,78.22,6084438,47590436675000.0,25444,2614828,0.42979999999999996
2021-01-05,TATAMTRDVR,EQ,77.85,77.0,78.7,75.5,77.9,78.05,76.86,6756701,51932318060000.0,19227,1974596,0.2922
2021-01-06,TATAMTRDVR,EQ,78.05,78.3,79.95,77.2,78.9,79.05,78.85,9892840,78009078935000.0,30516,3418393,0.3455
2021-01-07,TATAMTRDVR,EQ,79.05,79.75,82.3,79.4,80.15,80.3,80.76,11038590,89143730130000.0,33646,4529693,0.4104
2021-01-08,TATAMTRDVR,EQ,80.3,80.85,83.2,80.7,81.8,81.85,82.22,9118887,74979945315000.0,25407,3396029,0.3724
2021-01-11,TATAMTRDVR,EQ,81.85,82.4,91.2,82.0,90.95,89.9,87.1,30857878,268778707575000.0,85248,7888894,0.2557
2021-01-12,TATAMTRDVR,EQ,89.9,91.0,101.8,91.0,94.5,94.65,96.94,52284005,506864894930000.0,145768,9084420,0.17379999999999998
2021-01-13,TATAMTRDVR,EQ,94.65,97.0,99.9,94.1,96.65,96.9,96.84,17073544,165335608870000.0,52516,3130749,0.1834
