Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,DTIL,EQ,259.25,262.0,262.85,258.35,262.0,260.1,260.33,1472,38320070000.0,118,900,0.6114
2021-01-01,DVL,EQ,78.0,75.65,79.6,75.1,75.6,76.25,77.26,19727,152404950000.0,476,15086,0.7647
2021-01-04,DVL,EQ,76.25,78.0,78.0,74.5,75.0,75.1,75.56,23613,178417300000.0,614,18949,0.8025
2021-01-04,DTIL,EQ,260.1,261.05,266.4,260.4,264.05,264.5,263.63,4440,117049900000.0,224,2985,0.6723
2021-01-05,DVL,EQ,75.1,75.1,75.75,71.0,73.05,73.2,73.67,11619,85592475000.0,285,8254,0.7104
2021-01-05,DTIL,EQ,264.5,265.0,272.0,260.5,266.0,265.45,266.22,7370,196203230000.0,583,2631,0.35700000000000004
2021-01-06,DVL,EQ,73.2,71.55,78.55,71.5,72.6,72.8,73.92,56069,414437610000.0,551,8852,0.15789999999999998
2021-01-06,DTIL,EQ,265.45,261.05,267.85,258.1,260.3,260.7,262.98,5892,154947815000.0,317,3209,0.5446
2021-01-07,DVL,EQ,72.8,72.9,75.2,72.9,73.5,73.55,73.93,8480,62693730000.00001,222,5830,0.6875
2021-01-07,DTIL,EQ,260.7,260.3,266.55,260.3,261.05,261.6,262.48,3759,98667080000.0,180,2644,0.7034
2021-01-08,DVL,EQ,73.55,75.0,75.0,71.1,72.5,72.25,73.02,17199,125586780000.0,253,12217,0.7103
2021-01-08,DTIL,EQ,261.6,264.35,264.35,252.5,262.0,257.25,261.07,6617,172751070000.0,388,4981,0.7528
2021-01-11,DTIL,EQ,257.25,259.85,264.0,254.95,257.0,258.5,259.43,4137,107328225000.0,351,2474,0.598
2021-01-11,DVL,EQ,72.25,72.55,73.5,70.05,70.7,71.55,71.78,14949,107310370000.0,469,7232,0.48380000000000006
2021-01-12,DTIL,EQ,258.5,261.55,264.95,255.95,257.0,259.2,259.01,5717,148075845000.0,433,3569,0.6243
2021-01-12,DVL,EQ,71.55,70.95,73.85,70.95,72.05,72.15,72.2,9152,66078460000.0,162,5635,0.6157
2021-01-13,DVL,EQ,72.15,72.0,72.55,70.4,71.35,70.95,71.05,11548,82047920000.0,144,10215,0.8845999999999999
2021-01-13,DTIL,EQ,259.2,263.75,264.15,255.0,256.6,259.2,260.49,15061,392324550000.0,1447,5919,0.39299999999999996
