Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,SJVN,EQ,24.85,25.05,25.3,24.9,25.15,25.1,25.11,1115965,2802677410000.0,3683,678046,0.6076
2021-01-04,SJVN,EQ,25.1,25.3,25.8,25.2,25.6,25.6,25.56,2370307,6058551470000.0,4343,1173090,0.4949
2021-01-05,SJVN,EQ,25.6,25.2,26.2,25.2,25.65,25.7,25.81,3838983,9906825235000.0,6237,2164080,0.5637
2021-01-06,SJVN,EQ,25.7,25.9,26.15,25.5,25.7,25.65,25.75,2603559,6704188485000.0,7416,1395936,0.5362
2021-01-07,SJVN,EQ,25.65,25.9,26.0,25.75,25.85,25.85,25.85,1445428,3735811179999.9995,3979,779186,0.5391
2021-01-08,SJVN,EQ,25.85,25.95,27.25,25.85,27.25,26.75,26.56,5189758,13782171444999.998,8864,2418237,0.466
2021-01-11,SJVN,EQ,26.75,27.5,27.7,26.5,26.6,26.8,27.04,4575938,12372790535000.0,8860,2137949,0.4672
2021-01-12,SJVN,EQ,26.8,26.75,27.45,26.5,26.85,27.05,26.93,4028256,10848780690000.0,6468,1527143,0.3791
2021-01-13,SJVN,EQ,27.05,27.15,27.4,26.5,26.6,26.6,26.85,3214044,8628586334999.999,7519,1510900,0.47009999999999996
