Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,JINDALSTEL,EQ,266.45,268.3,272.85,268.1,270.5,270.15,270.56,8047337,217726237790000.0,50965,811369,0.1008
2021-01-04,JINDALSTEL,EQ,270.15,273.3,290.0,272.7,288.7,287.7,281.77,16083859,453196403070000.0,84162,2366586,0.1471
2021-01-05,JINDALSTEL,EQ,287.7,286.5,288.0,282.1,284.2,284.65,284.72,7992858,227569379465000.0,55970,1397282,0.1748
2021-01-06,JINDALSTEL,EQ,284.65,285.95,290.6,278.15,284.9,284.2,285.0,12378749,352789074840000.0,64169,1915556,0.1547
2021-01-07,JINDALSTEL,EQ,284.2,288.0,304.65,287.25,297.3,298.0,297.98,16883643,503098341039999.94,109090,2315148,0.1371
2021-01-08,JINDALSTEL,EQ,298.0,300.5,302.6,290.9,294.3,293.8,297.06,9970177,296176750865000.0,61460,1998698,0.2005
2021-01-11,JINDALSTEL,EQ,293.8,295.0,295.25,284.9,292.45,293.05,290.63,8300395,241234804365000.0,61326,2075592,0.25010000000000004
2021-01-12,JINDALSTEL,EQ,293.05,292.5,307.0,290.4,294.4,294.4,299.77,12056629,361418585400000.0,119436,2208219,0.1832
2021-01-13,JINDALSTEL,EQ,294.4,297.3,305.75,288.3,298.65,299.75,298.22,10560096,314925978075000.0,68702,777407,0.0736
