Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,MAYURUNIQ,EQ,310.05,313.3,313.9,302.1,303.0,304.65,308.02,74325,2289348125000.0,2391,50629,0.6812
2021-01-04,MAYURUNIQ,EQ,304.65,306.65,309.85,299.0,307.25,307.5,304.68,112684,3433214860000.0,3580,66721,0.5921000000000001
2021-01-05,MAYURUNIQ,EQ,307.5,300.35,314.65,300.35,313.0,311.55,309.09,67040,2072132739999.9998,3603,34657,0.517
2021-01-06,MAYURUNIQ,EQ,311.55,313.85,317.6,308.1,313.05,313.55,313.36,94100,2948753885000.0,4543,54833,0.5827
2021-01-07,MAYURUNIQ,EQ,313.55,315.0,317.3,300.3,307.8,305.3,310.79,112323,3490880965000.0,3695,82798,0.7371
2021-01-08,MAYURUNIQ,EQ,305.3,306.85,313.55,306.85,310.0,308.75,310.16,75555,2343438510000.0,1994,54418,0.7202
2021-01-11,MAYURUNIQ,EQ,308.75,310.3,319.0,308.6,316.0,315.85,313.16,114318,3579958504999.9995,3101,75119,0.6570999999999999
2021-01-12,MAYURUNIQ,EQ,315.85,315.0,315.7,308.0,312.0,314.0,312.65,84581,2644396725000.0,1952,53155,0.6285000000000001
2021-01-13,MAYURUNIQ,EQ,314.0,312.15,314.6,297.35,304.0,304.55,305.44,83374,2546610750000.0,2796,45818,0.5495
