Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,ASHOKLEY,EQ,95.45,95.7,99.9,95.7,99.0,99.1,97.95,27149384,265924726905000.03,78832,7137508,0.2629
2021-01-04,ASHOKLEY,EQ,99.1,99.95,105.75,99.5,104.2,104.05,103.71,70313274,729230510675000.0,193586,13803011,0.1963
2021-01-05,ASHOKLEY,EQ,104.05,103.8,105.15,102.45,104.65,104.75,103.87,27304287,283616378070000.0,85659,4582061,0.1678
2021-01-06,ASHOKLEY,EQ,104.75,104.95,106.75,103.45,105.1,105.1,105.3,30608984,322309699560000.0,82717,6541630,0.2137
2021-01-07,ASHOKLEY,EQ,105.1,107.0,111.8,106.75,110.95,111.05,110.33,53238040,587373221740000.0,167047,9477872,0.17800000000000002
2021-01-08,ASHOKLEY,EQ,111.05,112.3,113.75,111.05,112.55,112.8,112.55,40182892,452254759539999.94,114088,6251587,0.15560000000000002
2021-01-11,ASHOKLEY,EQ,112.8,113.5,118.15,113.15,116.75,116.95,115.91,45425320,526541161070000.0,161729,12205338,0.2687
2021-01-12,ASHOKLEY,EQ,116.95,116.2,125.5,115.55,121.75,121.6,122.09,83619037,1020944053300000.0,219096,18990953,0.22710000000000002
2021-01-13,ASHOKLEY,EQ,121.6,123.1,125.45,118.3,121.5,121.65,121.82,51341074,625458024730000.0,124028,13918922,0.2711
