Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,RENUKA,EQ,12.15,12.2,12.25,11.9,11.95,11.95,12.09,2346712,2836701350000.0,2244,1795553,0.7651000000000001
2021-01-04,RENUKA,EQ,11.95,12.0,12.25,11.7,11.95,11.85,11.94,3492349,4168492945000.0005,3360,2055611,0.5886
2021-01-05,RENUKA,EQ,11.85,11.85,12.35,11.7,11.95,11.85,11.99,4049345,4853723500000.0,3351,1849375,0.45670000000000005
2021-01-06,RENUKA,EQ,11.85,11.85,12.9,11.85,12.55,12.5,12.5,10050128,12566609580000.0,7331,4637840,0.4615
2021-01-07,RENUKA,EQ,12.5,12.55,12.85,12.5,12.65,12.55,12.64,2973583,3758594979999.9995,2966,1680080,0.5650000000000001
2021-01-08,RENUKA,EQ,12.55,12.6,12.8,12.1,12.2,12.2,12.45,2779143,3459835960000.0,2700,1739945,0.6261
2021-01-11,RENUKA,EQ,12.2,12.55,12.6,11.85,12.0,11.95,12.07,2546650,3073524685000.0,3134,1693658,0.6651
2021-01-12,RENUKA,EQ,11.95,11.9,12.1,11.75,11.95,11.9,11.9,3036849,3614322935000.0,2466,1792312,0.5902000000000001
2021-01-13,RENUKA,EQ,11.9,11.9,12.1,11.7,11.8,11.8,11.84,2035034,2409690645000.0,2270,1388834,0.6825
