Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,TAJGVK,EQ,131.65,133.9,148.0,133.9,144.35,143.95,145.27,2477054,35983921775000.0,28789,542125,0.2189
2021-01-04,TAJGVK,EQ,143.95,146.0,146.8,141.8,143.6,144.25,144.13,264824,3816785875000.0,4054,115464,0.436
2021-01-05,TAJGVK,EQ,144.25,143.5,143.9,137.5,142.2,142.75,142.26,130120,1851091130000.0,2008,64247,0.4938
2021-01-06,TAJGVK,EQ,142.75,143.0,143.75,138.0,140.0,139.75,140.92,111465,1570757710000.0,2154,72880,0.6537999999999999
2021-01-07,TAJGVK,EQ,139.75,140.05,142.3,140.0,140.35,140.6,141.03,85554,1206603780000.0,1333,43019,0.5028
2021-01-08,TAJGVK,EQ,140.6,140.35,141.75,140.35,141.1,141.15,141.19,77080,1088284294999.9999,1408,43287,0.5616
2021-01-11,TAJGVK,EQ,141.15,141.7,142.75,138.1,139.9,139.7,139.93,68335,956238850000.0,1608,39819,0.5827
2021-01-12,TAJGVK,EQ,139.7,140.0,142.5,138.6,140.35,139.8,139.85,84996,1188629625000.0,1782,39936,0.46990000000000004
2021-01-13,TAJGVK,EQ,139.8,141.45,144.5,139.1,140.0,140.2,141.22,250824,3542122695000.0005,4317,117031,0.46659999999999996
