Date,P/E,P/B,Div Yield
2021-01-01,23.32,1.88,1.99
2021-01-04,23.85,1.92,1.95
2021-01-05,23.72,1.91,1.96
2021-01-06,23.91,1.93,1.94
2021-01-07,24.12,1.95,1.92
2021-01-08,24.44,1.97,1.9
2021-01-11,24.29,1.96,1.91
2021-01-12,24.37,1.97,1.91
2021-01-13,24.44,1.97,1.9
2021-01-14,24.53,1.98,1.89
