Date,P/E,P/B,Div Yield
2021-01-01,44.58,10.4,1.32
2021-01-04,44.87,10.47,1.32
2021-01-05,45.0,10.5,1.31
2021-01-06,44.5,10.38,1.33
2021-01-07,44.11,10.29,1.34
2021-01-08,44.43,10.36,1.33
2021-01-11,44.95,10.49,1.31
2021-01-12,44.7,10.43,1.32
2021-01-13,44.87,10.47,1.32
2021-01-14,45.22,10.55,1.31
