Date,P/E,P/B,Div Yield
2021-01-01,,2.11,2.38
2021-01-04,,2.14,2.36
2021-01-05,,2.15,2.34
2021-01-06,,2.16,2.33
2021-01-07,,2.17,2.32
2021-01-08,,2.24,2.25
2021-01-11,,2.2,2.28
2021-01-12,,2.23,2.25
2021-01-13,,2.24,2.24
2021-01-14,,2.24,2.25
