Date,P/E,P/B,Div Yield
2021-01-01,17.78,1.57,2.81
2021-01-04,17.99,1.59,2.78
2021-01-05,17.88,1.58,2.8
2021-01-06,17.91,1.58,2.79
2021-01-07,17.85,1.58,2.8
2021-01-08,18.08,1.6,2.77
2021-01-11,17.92,1.58,2.79
2021-01-12,18.15,1.6,2.75
2021-01-13,18.26,1.61,2.74
2021-01-14,18.51,1.64,2.7
