Date,P/E,P/B,Div Yield
2021-01-01,,8.26,1.0
2021-01-04,,8.33,0.99
2021-01-05,,8.39,0.98
2021-01-06,,8.37,0.98
2021-01-07,,8.4,0.98
2021-01-08,,8.52,0.97
2021-01-11,,8.59,0.96
2021-01-12,,8.57,0.96
2021-01-13,,8.56,0.96
2021-01-14,,8.59,0.96
