Date,P/E,P/B,Div Yield
2021-01-01,17.74,1.45,2.58
2021-01-04,18.65,1.53,2.45
2021-01-05,18.38,1.5,2.49
2021-01-06,18.62,1.52,2.46
2021-01-07,19.33,1.58,2.37
2021-01-08,19.22,1.57,2.38
2021-01-11,19.02,1.56,2.41
2021-01-12,19.11,1.56,2.39
2021-01-13,19.18,1.57,2.39
2021-01-14,18.99,1.55,2.41
