Date,P/E,P/B,Div Yield
2021-01-01,305.38,4.19,1.76
2021-01-04,310.17,4.26,1.74
2021-01-05,310.1,4.26,1.74
2021-01-06,308.9,4.24,1.74
2021-01-07,310.55,4.26,1.73
2021-01-08,320.81,4.4,1.68
2021-01-11,329.19,4.52,1.64
2021-01-12,333.28,4.58,1.62
2021-01-13,336.2,4.62,1.6
2021-01-14,337.18,4.63,1.6
