Date,P/E,P/B,Div Yield
2021-01-01,184.57,2.51,0.63
2021-01-04,185.17,2.52,0.63
2021-01-05,184.53,2.51,0.63
2021-01-06,185.84,2.53,0.63
2021-01-07,188.35,2.56,0.62
2021-01-08,191.05,2.6,0.61
2021-01-11,192.23,2.61,0.61
2021-01-12,197.55,2.69,0.59
2021-01-13,196.95,2.68,0.59
2021-01-14,196.81,2.68,0.59
