Date,P/E,P/B,Div Yield
2021-01-01,44.36,3.82,1.19
2021-01-04,44.8,3.85,1.18
2021-01-05,45.08,3.88,1.17
2021-01-06,44.97,3.87,1.17
2021-01-07,45.04,3.87,1.17
2021-01-08,45.68,3.93,1.15
2021-01-11,45.91,3.96,1.14
2021-01-12,46.12,3.98,1.14
2021-01-13,46.06,3.97,1.14
2021-01-14,46.16,3.98,1.14
