Date,Open,High,Low,Close,Volume,Turnover
2021-01-01,21.1,21.33,19.26,19.56,,
2021-01-04,19.56,21.03,19.34,20.03,,
2021-01-05,20.03,21.01,20.03,20.46,,
2021-01-06,20.46,21.63,20.43,21.0,,
2021-01-07,21.0,21.0,20.14,20.62,,
2021-01-08,20.62,20.85,17.38,20.64,,
2021-01-11,20.64,22.75,20.64,22.38,,
2021-01-12,22.38,23.26,22.29,22.85,,
2021-01-13,22.85,24.05,22.37,23.29,,
