Date,P/E,P/B,Div Yield
2021-01-01,27.77,3.79,2.28
2021-01-04,28.3,3.87,2.23
2021-01-05,28.4,3.88,2.23
2021-01-06,28.26,3.86,2.24
2021-01-07,28.15,3.85,2.25
2021-01-08,28.8,3.94,2.19
2021-01-11,29.13,4.0,2.16
2021-01-12,29.18,4.01,2.15
2021-01-13,29.32,4.03,2.14
2021-01-14,29.46,4.05,2.13
