Date,P/E,P/B,Div Yield
2021-01-01,,2.75,1.68
2021-01-04,,2.79,1.66
2021-01-05,,2.81,1.65
2021-01-06,,2.82,1.64
2021-01-07,,2.86,1.61
2021-01-08,,2.89,1.6
2021-01-11,,2.89,1.6
2021-01-12,,2.91,1.59
2021-01-13,,2.89,1.6
2021-01-14,,2.89,1.6
