Date,P/E,P/B,Div Yield
2021-01-01,32.98,8.5,1.73
2021-01-04,33.87,8.73,1.68
2021-01-05,34.76,8.96,1.64
2021-01-06,34.28,8.84,1.66
2021-01-07,34.06,8.78,1.67
2021-01-08,35.29,9.1,1.61
2021-01-11,36.01,9.4,1.56
2021-01-12,35.95,9.38,1.56
2021-01-13,35.98,9.39,1.56
2021-01-14,35.93,9.38,1.56
