Date,P/E,P/B,Div Yield
2021-01-01,10.71,1.11,5.26
2021-01-04,10.95,1.13,5.15
2021-01-05,10.88,1.12,5.19
2021-01-06,11.01,1.14,5.12
2021-01-07,11.07,1.14,5.1
2021-01-08,11.27,1.16,5.0
2021-01-11,11.3,1.17,4.99
2021-01-12,11.44,1.18,4.93
2021-01-13,11.53,1.19,4.89
2021-01-14,11.61,1.2,4.86
