Date,Open,High,Low,Close,Volume,Turnover
2021-01-01,3355.05,3367.05,3351.45,3360.6,105456294,67532500000.0
2021-01-04,3382.65,3382.65,3338.5,3372.55,212331816,127733900000.0
2021-01-05,3357.7,3389.9,3345.4,3383.55,197218457,135438000000.0
2021-01-06,3393.15,3400.65,3351.35,3376.55,276042119,168897700000.0
2021-01-07,3403.65,3436.1,3399.05,3412.45,247677892,164767000000.0
2021-01-08,3440.2,3455.45,3431.9,3448.95,209081337,143792800000.0
2021-01-11,3466.9,3466.9,3422.5,3441.4,186816685,137433400000.0
2021-01-12,3432.55,3497.8,3426.1,3493.5,242437991,162916300000.0
2021-01-13,3521.85,3539.3,3466.4,3513.9,360461284,190419100000.0
