Date,P/E,P/B,Div Yield
2021-01-01,30.12,2.61,0.4
2021-01-04,30.1,2.6,0.4
2021-01-05,30.6,2.65,0.4
2021-01-06,30.67,2.65,0.4
2021-01-07,30.82,2.67,0.39
2021-01-08,30.95,2.68,0.39
2021-01-11,30.86,2.67,0.39
2021-01-12,31.19,2.7,0.39
2021-01-13,31.42,2.72,0.39
2021-01-14,31.37,2.71,0.39
