Date,P/E,P/B,Div Yield
2021-01-01,38.66,5.35,0.71
2021-01-04,39.1,5.41,0.7
2021-01-05,39.15,5.42,0.7
2021-01-06,39.0,5.4,0.7
2021-01-07,38.83,5.37,0.71
2021-01-08,39.46,5.46,0.7
2021-01-11,39.88,5.52,0.69
2021-01-12,39.38,5.45,0.7
2021-01-13,39.02,5.4,0.7
2021-01-14,39.35,5.45,0.7
