Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,ADFFOODS,EQ,643.4,653.75,667.95,636.25,637.0,640.9,651.7,132304,8622312684999.999,5315,46906,0.35450000000000004
2021-01-04,ADFFOODS,EQ,640.9,647.0,665.0,628.2,652.9,648.95,648.35,130886,8485964059999.999,5473,44666,0.34130000000000005
2021-01-05,ADFFOODS,EQ,648.95,644.4,654.8,630.1,640.4,641.4,644.06,50544,3255316830000.0,2354,20956,0.4146
2021-01-06,ADFFOODS,EQ,641.4,642.0,652.3,623.0,638.0,632.6,637.6,45069,2873617345000.0,1862,20466,0.45409999999999995
2021-01-07,ADFFOODS,EQ,632.6,639.95,646.85,628.0,634.35,632.85,636.1,23381,1487261290000.0,1352,11042,0.4723
2021-01-08,ADFFOODS,EQ,632.85,634.95,646.8,618.2,631.0,632.0,634.67,51750,3284393050000.0,2689,26343,0.509
2021-01-11,ADFFOODS,EQ,632.0,642.8,659.0,631.25,645.0,644.5,645.93,57300,3701203465000.0,2893,26501,0.4625
2021-01-12,ADFFOODS,EQ,644.5,644.5,646.0,631.0,632.55,636.15,639.14,19291,1232962780000.0,1085,10274,0.5326
2021-01-13,ADFFOODS,EQ,636.15,639.15,639.95,610.15,613.95,615.85,621.2,29927,1859076845000.0,2072,16410,0.5483
