Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,GTPL,EQ,133.8,133.8,139.7,132.3,137.6,137.25,137.12,298537,4093518629999.9995,4468,132846,0.445
2021-01-04,GTPL,EQ,137.25,137.95,138.8,133.55,134.2,134.2,135.82,150678,2046448620000.0,2608,82473,0.5473
2021-01-05,GTPL,EQ,134.2,130.1,133.9,130.1,130.7,130.8,131.46,113515,1492233385000.0,3154,63352,0.5581
2021-01-06,GTPL,EQ,130.8,131.0,152.5,130.25,143.9,143.15,145.19,1231574,17881830200000.0,20946,301477,0.24480000000000002
2021-01-07,GTPL,EQ,143.15,149.0,151.8,145.0,146.35,146.35,148.02,392783,5814144870000.0,6643,178896,0.45549999999999996
2021-01-08,GTPL,EQ,146.35,147.45,162.0,146.95,153.75,154.25,156.43,1016291,15897722955000.002,13107,417721,0.41100000000000003
2021-01-11,GTPL,EQ,154.25,156.0,163.0,155.2,159.8,160.15,160.34,569082,9124746570000.0,9383,281003,0.4938
2021-01-12,GTPL,EQ,160.15,160.15,162.35,150.1,151.55,151.45,156.28,584349,9132292770000.0,10259,279728,0.47869999999999996
2021-01-13,GTPL,EQ,151.45,152.8,161.95,149.1,152.0,156.55,155.12,732766,11366451480000.0,11096,290150,0.396
