Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,MOREPENLAB,EQ,30.7,30.9,31.25,30.3,30.5,30.45,30.73,1718038,5279802870000.0,3760,848843,0.4941
2021-01-04,MOREPENLAB,EQ,30.45,30.7,31.2,30.15,30.55,30.35,30.54,2253713,6882626970000.0,4914,1153555,0.5118
2021-01-05,MOREPENLAB,EQ,30.35,30.3,30.45,29.85,30.1,30.05,30.1,1660809,4999675635000.0,3507,972554,0.5856
2021-01-06,MOREPENLAB,EQ,30.05,30.2,31.1,29.75,29.85,29.9,30.32,2806388,8508773584999.999,5596,1337366,0.4765
2021-01-07,MOREPENLAB,EQ,29.9,30.05,32.4,29.9,31.55,31.4,31.51,7594173,23929900805000.0,13795,3118920,0.4107
2021-01-08,MOREPENLAB,EQ,31.4,31.8,32.05,30.6,30.9,30.85,31.3,2588410,8102233605000.0,5509,1498656,0.579
2021-01-11,MOREPENLAB,EQ,30.85,31.15,32.2,30.75,31.3,31.3,31.54,4025340,12697290855000.0,11287,1844311,0.4582
2021-01-12,MOREPENLAB,EQ,31.3,31.3,32.9,31.0,31.75,31.85,32.03,4930964,15795347430000.002,11053,2042937,0.4143
2021-01-13,MOREPENLAB,EQ,31.85,32.05,32.35,30.25,30.8,30.85,31.31,3170044,9925763890000.0,6914,1702148,0.5369
