Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,GIPCL,EQ,83.85,84.4,84.85,83.75,84.0,84.05,84.19,96483,812307085000.0,1208,56114,0.5816
2021-01-04,GIPCL,EQ,84.05,84.85,86.8,84.1,84.6,84.75,85.34,370070,3158316935000.0,2470,245653,0.6638
2021-01-05,GIPCL,EQ,84.75,84.15,87.9,83.2,83.45,83.65,85.17,810852,6905631680000.0,6178,448903,0.5536
2021-01-06,GIPCL,EQ,83.65,84.3,86.0,83.65,85.3,85.4,84.92,584661,4964990130000.0,5146,363031,0.6209
2021-01-07,GIPCL,EQ,85.4,86.0,87.2,84.0,84.0,84.45,85.46,410053,3504457929999.9995,3679,252810,0.6165
2021-01-08,GIPCL,EQ,84.45,84.75,85.9,83.5,83.9,83.9,84.71,255108,2160926289999.9998,4555,157229,0.6163000000000001
2021-01-11,GIPCL,EQ,83.9,84.7,84.7,82.7,83.0,83.15,83.4,251615,2098586275000.0,2039,182447,0.7251000000000001
2021-01-12,GIPCL,EQ,83.15,82.1,84.55,82.1,83.15,83.15,83.5,497236,4152070460000.0,3921,319656,0.6429
2021-01-13,GIPCL,EQ,83.15,83.6,85.0,82.6,83.35,83.2,83.68,315007,2635937890000.0,2810,169525,0.5382
