Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,SUPERHOUSE,EQ,133.55,129.0,133.0,126.5,129.1,130.9,129.54,237952,3082315625000.0,4500,64322,0.27030000000000004
2021-01-04,SUPERHOUSE,EQ,130.9,128.65,133.5,126.4,128.05,129.2,129.24,88727,1146751395000.0,1985,39784,0.4484
2021-01-05,SUPERHOUSE,EQ,129.2,128.9,131.45,127.95,128.1,128.25,129.03,38423,495785434999.99994,810,18862,0.49090000000000006
2021-01-06,SUPERHOUSE,EQ,128.25,129.5,131.9,126.0,127.2,127.5,129.51,78328,1014399205000.0001,1778,31525,0.4025
2021-01-07,SUPERHOUSE,EQ,127.5,127.95,132.0,127.25,130.15,129.55,130.32,53992,703614730000.0,1239,25475,0.4718
2021-01-08,SUPERHOUSE,EQ,129.55,130.1,148.4,127.0,134.55,136.05,142.03,864005,12271068880000.0,11676,182337,0.21100000000000002
2021-01-11,SUPERHOUSE,EQ,136.05,136.7,138.55,130.0,132.9,131.45,134.19,96374,1293202520000.0,2089,40621,0.4215
2021-01-12,SUPERHOUSE,EQ,131.45,131.5,133.45,130.6,133.4,132.3,132.25,26578,351487125000.0,757,13631,0.5129
2021-01-13,SUPERHOUSE,EQ,132.3,133.7,134.9,125.45,130.05,130.4,130.73,50904,665463300000.0,1417,23241,0.45659999999999995
