Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,CENTRALBK,EQ,13.85,13.9,14.2,13.85,14.15,14.1,14.06,4839044,6802125195000.0,7007,2275548,0.47020000000000006
2021-01-04,CENTRALBK,EQ,14.1,14.3,14.5,14.05,14.2,14.15,14.2,5112472,7260494684999.999,5911,2354590,0.4606
2021-01-05,CENTRALBK,EQ,14.15,14.1,14.15,13.85,14.1,14.1,14.03,4650787,6525818810000.0,5427,2027493,0.43590000000000007
2021-01-06,CENTRALBK,EQ,14.1,14.1,14.2,13.9,14.0,14.0,14.1,5126864,7229674575000.0,6143,2575566,0.5024000000000001
2021-01-07,CENTRALBK,EQ,14.0,14.1,14.2,14.0,14.05,14.05,14.1,3606445,5084859960000.0,3852,1856703,0.5147999999999999
2021-01-08,CENTRALBK,EQ,14.05,14.15,14.25,13.95,14.05,14.0,14.12,6179497,8723229045000.0,5750,2512181,0.4065
2021-01-11,CENTRALBK,EQ,14.0,14.1,14.15,13.8,13.85,13.85,13.92,3055201,4253405090000.0,7939,1782809,0.5835
2021-01-12,CENTRALBK,EQ,13.85,13.9,14.7,13.7,14.55,14.55,14.25,12270276,17482833790000.0,10055,4906752,0.39990000000000003
2021-01-13,CENTRALBK,EQ,14.55,14.7,14.75,14.2,14.45,14.45,14.49,8552956,12394202940000.0,9057,3679948,0.4303
